abbreviate	v.缩写；缩短；缩写为；简称
abstruse	adj.难解的；深奥的
lenient	adj.仁慈的
sober	adj.未醉；持重的；冷静的；素净的v.变得冷静
hackneyed	adj.陈腐的
ritual	n.习惯；程序；仪规；礼节adj.仪式上的；庆典的；习惯的；老套的
misrepresent	v.误传；不实报道；歪曲
desolate	adj.无人居住的；荒无人烟的；荒凉的；孤独凄凉的v.使感到悲惨；使感到凄凉；使悲伤绝望
monotonous	adj.单调乏味的
apprehend	v.理解；逮捕；拘押；认识到
succinct	adj.简明的；言简意赅的
myriad	n.无数；大量adj.无数的；众多方面的
eulogy	n.颂词；颂文；（颂扬死者的）悼辞
endemic	n.地方病；某地特产的植物[动物]adj.地方性的；（某地或某集体中）特有的
exasperate	v.激怒；使烦恼；使恼怒adj.被激怒的；【生】具硬突起的
preoccupation	n.全神贯注；盘算；思虑；长久思考的事情
treacherous	adj.不可信任的；背叛的；奸诈的；有潜在危险的
knack	n.本领；技能；习惯；癖好
contain	v.包含；含有；控制；容纳
transcend	v.超出
officious	adj.爱指手画脚的；爱发号施令的
resilient	adj.可迅速恢复的；有适应力的；有弹性（或弹力）的；能复原的
nepotism	n.裙带关系；任人唯亲
competence	n.能力；胜任；技能；（法庭、机构或人的）权限
incendiary	adj.放火的；纵火的；能引起燃烧的；煽动的n.燃烧弹
fervid	adj.情感异常强烈的；激昂的；充满激情的
jeopardize	v.危害；危及；冒…的危险；损害
redundancy	n.多余；解雇；累赘
coterminous	adj.享有共同边界；毗连；接壤；几乎一致
glut	n.供应过剩；供过于求v.超量供应；充斥
irascible	adj.易怒的；暴躁的
idiosyncrasy	n.（个人特有的）习性；特征；癖好
singularity	n.奇特；异常；奇怪
albeit	conj.尽管；虽然
surmount	v.克服；解决；处于（某物）上面；置于（某物）顶端
tentative	n.试探；尝试；实验adj.实验性的；不确定的；尝试的；没有把握的
mendacious	adj.撒谎的；不真实的；捏造的
superfluous	adj.过剩的；过多的；多余的
colloquial	adj.会话的；口语的
inclusive	adj.包含全部费用的；包括所提到的费用在内的
perspicacious	adj.敏锐的；有洞察力的；精辟的
propriety	n.礼节；得体的举止；有分寸的行为；行为规范
finicky	adj.（对衣食等）过分讲究的；需认真仔细对待的；需要注意细节的
authentic	adj.真正的；真品的；真迹的；真实的
autonomous	adj.自治的；有自治权的；自主的；有自主权的
plagiarism	n.剽窃；抄袭；剽窃作品
eclectic	adj.不拘一格的；兼收并蓄的n.折衷主义者
sidestep	n.台阶；横步；〔体〕横步；侧跨步v.回避；横跨一步躲过；侧移一步闪过
onerous	adj.费力的；艰巨的；令人焦虑的
aggrandizement	n.强化；〈正式〉扩张；扩充
incubate	v.孵化；孵（卵）；培养（细胞、细菌等）；有（传染病在体内）潜伏
disperse	v.驱散；散开；传播；疏散adj.分散的；【物】弥散的
accede	v.同意（请求、建议等）；就任；就职；（尤指君主）即位
circumvent	v.规避；设法回避；绕过；绕行
nadir	n.最糟糕的时刻；最低点
outrage	n.愤怒；愤慨；暴行；义愤v.激怒；使震怒
indebted	adj.感激的；蒙恩的；负债的
contradictory	adj.相互矛盾的；对立的；不一致的n.对立的一方；【逻】正反对(命题)
tawdry	adj.俗丽而不值钱的；俗气的；花里胡哨的；粗俗的n.价廉而花哨的东西
chicanery	n.欺诈；诈骗；欺骗
elision	n.省音
mournful	adj.忧伤的；悲痛的
apocalyptic	adj.描述（历史）大动乱的；预示（未来）大灾变的；似末世的；像世界末日的
commence	v.开始；开始发生；着手
bulwark	n.堡垒；防御者（指人或事物）；防御工事；（船的）舷墙v.防御；用堡垒防护
equanimity	n.沉着
voluble	adj.健谈的；滔滔不绝的；流利的；明快的
impartial	adj.公正的；不偏不倚的；中立的
cursory	adj.粗略的；仓促的
solicitous	adj.操心的；关怀的；关切的
ambivalent	adj.（忧喜参半、好坏参半等）矛盾情绪的n.两性人
augment	v.增加；增强；扩大；充填n.增加
exiguous	adj.微小的；稀少的；不够的
hybrid	n.杂种；杂种动物；杂交植物；（不同事物的）混合物adj.杂种的；混合的；混合语的
engender	v.产生
discredit	n.丢脸；名誉丧失；信誉丧失v.败坏…的名声；使丧失信誉；使丢脸；使不相信
haphazard	n.偶然性；任意性adj.随意的；随便的；无计划的；任意的adv.随意地；无计划地；杂乱无章地
consolidate	v.合并；使加强；使巩固
beguile	v.哄骗（某人做某事）；诱骗；吸引（某人）；使感兴趣
cyclical	adj.周期的；循环的；【化】环状的；【植】轮列的
paucity	n.少量；少许；贫乏
resolution	n.解决；分辨；解析；决议
tout	v.兜售；吹捧；推销；标榜n.（音乐会、体育比赛等的）倒卖门票的人
abnegate	v.放弃(权利等)；克制
encrypt	v.把…加密（或编码）
cede	v.割让；让给；转让
anonymous	adj.不知姓名的；名字不公开的；匿名的；不具名的
pastiche	n.刻意模仿的文艺作品；模仿作品；集锦；模仿艺术
artificial	adj.人工的；人造的；假的；人为的n.人造肥料；〈美〉假花
regal	adj.帝王的；王室的；豪华的n.(16世纪可携带搬动的)小风琴
denouement	n.收场；（事情的）结果
turbulent	adj.动荡的；动乱的；骚动的；混乱的
negate	v.否定；否认；取消；使无效
infer	v.推断；推论；暗示；推理
timorous	adj.〈正式〉胆小的
spurious	adj.虚假的；伪造的；建立在错误的观念（或思想方法）之上的；谬误的
flout	n.嘲笑；表示轻蔑的言行v.无视（法律等）
adjure	v.要求；命令
concede	v.让步；允许；承认（某事属实、合乎逻辑等）；承认（比赛、选举等失败）
extravagance	n.奢侈；铺张浪费；挥霍；奢侈品
mitigate	v.减轻；缓解；缓和；平息
prolix	adj.冗长乏味的；繁琐的；啰嗦的
jettison	n.抛弃；(紧急情况下的)投弃货物v.投弃；放弃；摆脱；除掉
explicate	v.详细解释
disinclined	adj.不情愿；不乐意；无意于
mordant	n.媒介；媒染剂；金属腐蚀剂adj.〈正式〉尖酸的；刻薄的；辛辣的；有腐蚀性的
economical	adj.经济的；实惠的；节俭的；节约的
unwieldy	adj.笨重的；笨拙的；不灵巧的；难控制（或操纵、管理）的
surpass	v.超过；胜过；优于
boor	n.粗鲁讨厌的人；粗野的人
boorish	adj.粗鲁讨厌的；粗野的
rhetoric	n.修辞；花言巧语；华而不实的言语；修辞技巧
apposite	adj.很合适；很恰当
avert	v.防止；转移目光；背过脸
accommodate	v.容纳；顺应；提供住宿（或膳宿、座位等）；提供空间
disparate	adj.由不同的人（或事物）组成的；迥然不同的；无法比较的；不相干的n.无法比较的东西
encumber	v.阻碍；妨碍；打搅；负债
complacent	adj.自满的；自鸣得意的；表现出自满的
blithe	adj.不在意的；漫不经心的；快乐的；无忧无虑的
fecund	adj.生殖力旺盛的；多产的；有发明创造力的；（尤指）能提出新颖想法的
reciprocal	n.【数】倒数；乘法逆元素；互相关联的事物adj.互惠的；相应的
recede	v.逐渐远离；渐渐远去；逐渐减弱；慢慢变小
implicate	v.牵涉；表明（或意指）…是起因n.包含[暗指]的东西
bifurcate	v.分叉；分支adj.【植】成叉的
encomium	n.高度赞扬的话（或文章）；颂词
equivalent	n.等值；同义词；【化】当量；【地】同期地层adj.【化】等价的；同等的；同意义的
meritorious	adj.值得赞扬的
virulent	adj.致命的；恶性的；剧毒的；狠毒的
soft-pedal	v.低调处理；降低…的调门；对…轻描淡写n.(用以减弱音量的)钢琴踏板；减弱效果的东西
insatiable	adj.不知足的；无法满足的
indigenous	adj.土著的；原产的；本乡本土的；土生土长的n.本土点；乡土种；本地种；固有有
authoritarian	adj.威权主义的；专制的n.独裁主义者
venerate	v.崇敬；敬重；敬仰
lexical	adj.词汇的
gainsay	v.否认；反驳；反对n.否认
contentious	adj.可能引起争论的；爱争论的；充满争吵的
guileless	adj.厚道的；老实的；不奸猾的
anomalous	adj.异常的；反常的
synergy	n.协同作用；协同效果；【医】增效作用
displace	v.取代；置换；转移；替代
exalt	v.提拔；表扬；褒扬；高度赞扬
delineate	v.（详细地）描述
versatile	adj.多才多艺的；有多种技能的；多面手的；多用途的
spartan	n.斯巴达；斯巴达式的人adj.斯巴达式的；简朴的；清苦的
chimera	n.空想；喀迈拉（古希腊神话中狮头、羊身、蛇尾的吐火怪物）；妄想；幻想
profligate	adj.挥霍的；浪费的n.放荡的人；恣意挥霍的人
conflate	v.合并；合成；混合
hidebound	adj.守旧的；迂腐的
convoluted	adj.复杂的；盘绕的v.convolute的过去式和过去分词形式
exotic	n.舶来品；外来物；外来品种；外来语adj.来自异国（尤指热带国家）的；奇异的；异国情调的；异国风味的
suffragist	n.主张扩大参政权者
vindicate	v.证实；证明有理；澄清（责难或嫌疑）；证明（某人）无罪（责）
deride	v.嘲笑；愚弄；揶揄
adduce	v.引证
fluctuate	v.（大小、数量、质量等）波动；（在…之间）起伏不定
anachronism	n.过时的人（或风俗、思想）；弄错年代；时代错误
ephemeral	adj.短暂的；瞬息的n.生命短暂的事物；短生植物
subtle	adj.不易察觉的；不明显的；微妙的；机智的
grandiose	adj.华而不实的；浮夸的；不切实际的
minuscule	adj.极小的；微小的n.同“miniscule”
accretion	n.堆积；积聚层；堆积层
enthrall	v.迷惑；使做奴隶
undercut	v.削价竞争；以低于（竞争对手）的价格出售；削弱；使降低效力n.大盖儿头发型；帽盔式发型；华盖式发型adj.下部被削去[切去,挖掉,凿去]的
mediocre	adj.平庸的；普通的；平常的
decouple	v.（使两事物）分离
labile	adj.易变化的；【化,物】不稳定的；【电】滑动的
equivocate	v.（故意）含糊其词
pinpoint	v.确定；精准定位n.针尖adj.精准的
pithy	adj.言简意赅的；精练的
trump	v.胜过；出王牌赢（牌）；出王牌压掉（他人的牌）；打败n.将牌；主牌花色
infatuated	adj.热恋的；痴情的
conjure	v.变戏法；变魔术；使…变戏法般地出现（或消失）
estimable	adj.值得尊重的；值得敬佩的
contemplate	v.考虑；沉思；思量；思忖
belie	v.掩饰；遮掩；给人以假象；显示（某事）不正确
emulate	v.仿真；模仿；努力赶上；向…看齐
jocular	adj.幽默的；滑稽的；诙谐的；爱开玩笑的
cerebral	adj.大脑的；理智的；智力的
heterodox	adj.异端的；非正统的
felicitous	adj.贴切的；恰当的；妥帖的
initiate	v.开创；开始；提出；制定adj.被传授初步知识的；新入会的n.被传授初步知识的人；新入会的人
penetrate	v.渗透；进入；穿过；看透
perpetual	adj.不间断的；持续的；长久的；一再反复的n.【园】四季开花的植物；多年生草
portentous	adj.预示（坏事）的；先兆的；煞有介事的；装腔作势的
canon	n.教规；〈正式〉规则；标准；原则
valediction	n.（尤指正式演讲中的）告别
polemic	n.论战；激烈争论；辩论文章；辩论术adj.论战的；喜欢争论的
ossify	v.（使）僵化；（使）固定不变；使骨化；骨质化
spurn	n.拒绝；藐视；唾弃；不理睬v.（尤指傲慢地）拒绝
impulsive	adj.凭冲动行事的；易冲动的
transient	adj.短暂的；转瞬即逝的；倏忽的；暂住的n.暂住某地的人；过往旅客；临时工
flourish	v.繁荣；兴旺；昌盛；茁壮成长n.（为引起注意的）夸张动作；给人深刻印象的行动；令人难忘的方式；修饰
adhere	v.黏附；附着
serviceable	adj.能用的
restorative	adj.恢复健康的；促使康复的；整容的；整形的n.有助于恢复健康的事物；滋补品
refractory	adj.难以驾驭的；行为乖戾的；难以诊治的；难以治愈的n.倔强的人；耐火矿石[金属]；耐熔质
absolve	v.宣告…无罪；判定…无责；赦免…的罪
random	adj.随意的（非事先决定或不规则）；不认识的；辨认不出的；出人意料的n.偶然的[随便的]行动[过程]
germane	adj.与…有密切关系；贴切；恰当
formidable	adj.可怕的；令人敬畏的；难对付的
obligatory	adj.（按法律、规定等）必须的；习惯性的；随大溜的；赶时髦的
exhaustive	adj.详尽的；彻底的；全面的
hamper	v.阻碍；妨碍；阻止n.（尤指用于盛食物的）带盖大篮子；（作为礼品的）盒装食物
imperil	v.使陷于危险；危及
antithesis	n.对照；【语】对语；对语的后半部；【乐】对应乐节
unseasoned	adj.没有调味的；未成熟的；没有经验的；未干的
specious	adj.似是而非的；貌似有理的
unqualified	adj.不合格的；没资格的；完全的；绝对的
overshadow	v.使显得逊色；使黯然失色；使扫兴；使蒙上阴影
nebulous	adj.模糊的；不清楚的
avid	adj.热衷的；酷爱的；渴望的；渴求的
censorious	adj.爱挑剔的；吹毛求疵的
exhilarate	v.使高兴；使兴奋；使激动
vibrant	adj.充满生机的；生气勃勃的；精力充沛的；鲜艳的n.【语】有声音
analogous	adj.相似的；类似的
subsume	v.将…归入（或纳入）
alacrity	n.欣然同意；十分乐意
stagnant	adj.（水或空气）不流动而污浊的；停滞的；不发展的；无变化的
histrionic	n.演员；戏剧表演；舞台艺术；戏剧似的言行adj.矫揉造作的；装腔作势的
heterogeneous	adj.由很多种类组成的；各种各样的
elicit	v.引出；探出；诱出
symmetry	n.对称；相似；相仿；相等
satire	n.讽刺；讥讽；讽刺作品
noxious	adj.有毒的；有害的
dilettante	adj.(对艺术等)一知半解的；业余的n.〈正式〉业余爱好者
mollify	v.使平静；抚慰
implacable	adj.不能改变的；不愿和解的；不饶人的
illegible	adj.难以辨认的；无法辨识的；字迹模糊的
opportune	adj.恰好的；适当的；恰当的；及时的
vitriol	v.(〔英国〕 -ll- ) 用硫酸烧伤；用硫酸处理n.尖刻无情的话（或批评）
supercilious	adj.傲慢的；高傲的
furtive	adj.偷偷摸摸的；鬼鬼祟祟的；遮遮掩掩的
vindictive	adj.想复仇的；报复性的；怀恨的
sycophant	n.阿谀奉承的人；谄媚者；拍马者adj.谄媚的
contempt	n.蔑视；轻蔑；鄙视；（对规则、危险等的）藐视
corrosive	n.腐蚀剂adj.腐蚀性的；侵蚀性的；损害性的；逐渐起破坏作用的
agile	adj.敏捷的；灵活的；(思维)敏捷的；机智的
inveterate	adj.积习难改的；有…瘾的；长期形成的；根深蒂固的
provincial	n.外省人；外地人；乡巴佬；都城以外的人adj.省的；一级行政区的；首都以外的；外省的
lucrative	adj.赚大钱的；获利多的
patent	n.专利；专利权；专利证adj.专利(的)；显然；明摆着的v.取得专利权
trite	adj.老生常谈的；陈腐的；老一套的
unfounded	adj.莫须有的；无端的；没理由的；不依据事实的
congenial	adj.意气相投的；志趣相投的；合得来的；相宜的
truncate	vt.删节（尤指掐头或去尾）adj.截短的；被删节的
denigrate	v.诋毁；诽谤；贬低
incentive	n.激励；刺激；鼓励adj.刺激性的
evince	v.表明
stubborn	adj.固执的；执拗的；顽固的；倔强的
discretion	n.谨慎；慎重；审慎；自行决定的自由
hinder	v.阻碍；妨碍；阻挡adj.后面的
tenacious	adj.紧握的；不松手的；坚持的；顽强的
incursion	n.突然入侵；突然侵犯；袭击；（意外的）搅扰
vicious	adj.狂暴的；残酷的；凶猛危险的；充满仇恨的
salutary	adj.有益的（尽管往往让人不愉快）
spectral	adj.鬼一般的；幽灵似的；鬼的；幽灵的
coalesce	v.合并；结合；联合
enormity	n.巨大；深远影响；严重性；滔天罪行
preeminent	adj.优秀的
ingratiate	v.讨好；巴结；迎合
dispassionate	adj.不动感情的；冷静的；不带偏见的
elude	v.躲避；逃避；使…迷惑；难倒…
precede	v.先于；在…之前发生（或出现）；走在…前面
prescribe	v.规定；命令；指示；给…开（药）
converge	v.集中；汇集；聚集；（向某一点）相交
nuance	n.（意义、声音、颜色、感情等方面的）细微差别
edify	v.教化；启迪；教诲
discrete	adj.离散的；分离的；各别的
sporadic	adj.偶尔发生的；间或出现的；阵发性的；断断续续的
dearth	n.缺乏；不足
foreground	n.（景物、图画等的）前景；瞩目地位；重要位置v.强调；突出
jejune	adj.太幼稚的；不成熟的；头脑简单的；枯燥无味的
relinquish	v.（尤指不情愿地）放弃
malleable	adj.可锻造的；可轧压的；易成型的；可塑的
induce	v.导致；引起；诱使；劝说
effusive	adj.感情过分流露的；太动感情的；奔放的
detrimental	adj.不利的
venal	adj.贪赃枉法的；见利忘义的
disdain	v.蔑视；鄙视；鄙弃；不屑（做某事）n.蔑视；鄙视；鄙弃
abate	v.减少
unwitting	adj.不知情的；糊里糊涂的；无意的
irreducible	adj.不能再分的；无法简化的
laud	v.称赞；赞美；赞扬n.称赞；赞美歌；松歌
abhor	v.厌恶；憎恨；唾弃
reminiscent	adj.使回忆起（人或事）；回忆过去的；怀旧的；缅怀往事的n.回忆者；追记前事者
relish	v.喜欢；享受；从…获得乐趣；渴望n.享受；乐趣；风味佐料（用水果和蔬菜煮后制成的冷稠酱汁）
thwart	v.阻止；阻挠；对…构成阻力adj.穿过的；不利的adv.横过n.(横贯小艇的)坐板
immutable	adj.不可改变的；永恒不变的
pretentious	adj.炫耀的；虚夸的；自命不凡的
lament	n.挽歌；哀诗；悼辞v.对…感到悲痛；痛惜；对…表示失望
reactionary	n.反动分子；反对政治（或社会）变革者adj.反动的；保守的；【化】反应的
fragile	adj.易碎的；易损的；不牢固的；脆弱的
derogatory	adj.贬低的；贬义的
unyielding	adj.坚定的；顽强不屈的；固执的；不弯曲的
benign	adj.善良的；和善的；慈祥的；良性的
catalyst	n.催化剂；促使变化的人；引发变化的因素
propagate	v.传播；繁殖；宣传；增殖
expeditious	adj.迅速而有效的；迅速完成的
coy	n.科伊；【男名】男子名adj.假装害羞无知的；不愿提供信息的；不肯作答的；含糊其词的abbr.(=company)
concise	adj.简明的；简练的；简洁的；简略的
extirpate	v.根除
deprecate	v.对…表示极不赞成；强烈反对
labyrinthine	na.“labyrinthian”的变体
responsive	adj.反应敏捷；反应积极；反应热烈的；热情的
largesse	n.慷慨解囊；施舍；赠款
estrange	v.使疏远；离间；隔离；使离开(习惯了的环境等)
hostility	n.敌意；对抗；（对思想、计划或情形的）愤怒反对；战争行为
denunciation	n.指责；公开谴责；斥责
forbear	v.克制；自制；忍住（不说话或不做某事）n.同“forebear”
laconic	adj.简洁的；简明扼要的；凝练的
palliate	v.缓和（疾病或不适）
whimsical	adj.异想天开的；想入非非的；心血来潮的；滑稽可笑的
lavish	v.浪费；挥霍；滥花；慷慨地给与adj.大量的；给人印象深刻的；耗资巨大的；慷慨的
meticulous	adj.细心的；小心翼翼的
petulant	adj.闹脾气的；爱耍性子的；赌气的；任性的
inscrutable	adj.难以捉摸的；难以理解的；神秘莫测的
obfuscate	v.（故意地）混淆
imperious	adj.专横的；蛮横的；盛气凌人的
loath	adj.不情愿；不乐意；勉强
circumscribe	v.限制；画…的外接圆
pernicious	adj.有害的
perennial	adj.长久的；持续的；反复出现的；多年生的n.多年生植物
lambaste	v.狠狠批评
upheaval	n.动荡；剧变；激变；动乱
quell	v.平息；制止；消除；镇压n.〈古〉屠杀
divert	v.转移；使转向；使绕道；改变（资金、材料等）的用途
resignation	n.辞职；辞呈；顺从；辞职信
momentous	adj.关键的；重要的；重大的
obscure	n.朦胧；黑夜adj.无名的；鲜为人知的；费解的；难以理解的v.使模糊；使隐晦；使费解
explicit	adj.清楚明白的；易于理解的；明确的；直言的
deleterious	adj.有害的；造成伤害的；损害的
facile	adj.轻率作出的；不动脑筋的；轻易可得的；得来容易的
antiquated	adj.过时的；陈旧的
hew	v.砍；劈出(某种形状、某物)abbr.(Department of) Health, Education, and Welfare (美国旧制时的)卫生、教育和福利部
lethargy	n.无精打采；冷漠；没有热情
tortuous	adj.拐弯抹角的；含混不清的；冗长费解的；弯弯曲曲的
distinctive	adj.独特的；特别的；有特色的
antipathy	n.反感；厌恶
curtail	v.缩短；限制；减缩
illuminate	v.照亮；照明；阐明；解释
simmer	v.煨；用文火炖；充满（难以控制的感情，尤指愤怒）；即将爆发n.即将沸腾状态；文火炖；小火煨
egalitarian	adj.主张人人平等的；平等主义的
disseminate	v.传播；散播；扩散
vociferous	adj.大声疾呼的；喧嚣的；大叫大嚷的
quixotic	adj.想入非非的；异想天开的；堂吉诃德式的n.同“quixotism”
stale	v.走味；使陈旧；使没有味道；用坏adj.不新鲜的；（空气）污浊的；（烟味）难闻的；陈腐的n.囮子；笑柄；受人愚弄成为笑谈的人；畜尿
recondite	adj.深奥的；晦涩的
ennui	n.倦怠；无聊；厌倦
provisional	adj.临时的；暂时的；暂定的
arid	adj.干旱的；干燥的；枯燥的；乏味的
embrace	n.拥抱；接受；包围；领会v.拥抱；包括；欣然接受；包含
blunder	n.愚蠢（或粗心）的错误v.犯愚蠢的（或粗心的）错误
congruent	adj.全等的；叠合的；适合的；适当的
candor	n.坦率；爽直；坦白
stifle	v.扼杀；抑制；压制；阻止n.(马,狗的)后腿膝关节(病)
adequate	adj.足够的；合格的；合乎需要的
languish	n.憔悴；惹人怜爱的感伤模样[倦态等]；脉脉含情v.被迫滞留；长期受苦；受煎熬；变得衰弱
modulate	v.调节；调整；调节（嗓音的大小、强弱、高低等）；变调
diagnose	v.诊断（疾病）；判断（问题的原因）
exacerbate	v.加剧
underrate	v.过低评价；低估
profusion	n.大量；众多
ominous	adj.不祥的；恶兆的；不吉利的
emblazon	v.（用图案、符号或文字醒目地）装饰
unnerve	v.使紧张；使恐惧；使丧失信心
evasive	adj.闪烁其词的；含糊的
improvise	v.临时拼凑；临时做；即兴创作（音乐、台词、演讲词等）
hearten	v.激励；鼓励
irenic	adj.和平的
trepidation	n.惊恐；恐惧；惊惶；不安
fixate	v.(使)固定下来；(使)凝视；(使)注意；全部控制
metamorphose	v.变化
scarcity	n.缺乏；不足；稀少
unwonted	adj.不平常的；异常的；罕见的；没想到的
approbation	n.认可；批准
personable	adj.品貌兼优的；英俊潇洒的
egregious	adj.极糟的；极坏的
punctilious	adj.一丝不苟的；循规蹈矩的
magnanimous	adj.宽宏的
surfeit	n.过量v.吃[喝]得太多 (of on upon) 放纵；使胸中作恶
rationalize	v.对…进行理性的解释；对…加以科学的说明；使合理化；进行合理化改革
founder	n.创办者v.失败；破产；沉没
provident	adj.精打细算的；未雨绸缪的
shrewd	adj.精明的；敏锐的；有眼光的；精于盘算的
clandestine	adj.暗中从事的；保密的；秘密的
humane	adj.善良的；仁慈的；人道的
anathema	n.可憎的事物；可恶的想法
quotidian	adj.寻常的；普通的；司空见惯的n.司空见惯的事；【医】日发疟
litigious	adj.好诉讼的；爱打官司的
tactful	adj.圆通的；得体的；不得罪人的
marginal	adj.小的；微不足道的；不重要的；非主体的n.（议会或地方委员会的）边缘席位
tenable	adj.说得过去的；站得住脚的；可保有
dispel	v.消除（尤指感觉或信仰）
aberrant	adj.违反常规的；反常的；异常的
fusion	n.融合；核聚变；熔接；结合
notorious	adj.声名狼藉的；臭名昭著的
obdurate	adj.顽固的；固执的；执拗的
efface	v.消除；抹去；擦掉
divine	n.神；牧师；宗教学者；圣职人员v.推测；卜卦；猜得出；窥测adj.神的；神性的；天赐的；奉为神的
insipid	adj.无味道的；淡而无味的；没有趣味的；枯燥乏味的
nonplussed	adj.惊慌失措的；不知所措的v.nonplus的过去式和过去分词形式
ambiguous	adj.模棱两可的；含混不清的；多义的；不明确的
pertinent	adj.有关的；恰当的；相宜的n.附属物；参考
buck	n.雄鹿；（一）美元；（一）澳元；（一）新西兰元adv.〈方〉完全v.尥起后蹄跳跃；弓背四蹄跳起；猛然震荡；猛烈颠簸adj.雄的；〈美俚〉男的；〈美俚〉某一军衔等级中最低一级的
bolster	v.加强；改善n.垫枕（长而厚）
fabricate	v.制造；编造；捏造；装配
poignant	adj.痛苦的；深刻的；(肉体上 )痛苦的；辛辣的
discriminate	v.歧视；区别；区分；辨别adj.有分辨能力的；显著的；〈古〉明确的
parsimony	n.悭吝；吝啬；小气
scant	adj.一丁点的；微小的；不足的；欠缺的v.缩减；克扣；吝惜；不客气地对待adv.几乎不[没有]
comprehensive	adj.全部的；所有的；（几乎）无所不包的；详尽的n.（英国为各种资质的学生设立的）综合中学
efficacious	adj.有效的；奏效的；灵验的
collage	n.拼贴画；拼贴艺术；收集品；收藏品
decipher	v.破译n.密电(或密信)的译文
lucid	adj.表达清楚的；易懂的
opaque	n.不透明；【建】遮檐；【摄】遮光涂料adj.模糊；不透明的；不透光的；浑浊的
susceptible	adj.敏感；易受影响（或伤害等）；过敏；好动感情的
repudiate	v.拒绝；不接受；回绝；（正式地）否认
apogee	n.顶峰；顶点；最高点
debunk	v.批判；驳斥；揭穿…的真相
maverick	n.持不同意见者；独行其是者；言行与众不同者v.迷路
sartorial	adj.服装的；（尤指）男装的；衣着的
obliterate	v.毁掉；覆盖；清除
secure	v.保护；取得；保卫；抵押adj.安心的；有把握的；可靠的；牢靠的
overwhelm	v.压倒；淹没；击败；（感情或感觉）充溢
chary	adj.不愿冒风险的；小心谨慎的；谨小慎微的
pedigree	n.家谱；世系；门第；起源adj.优良品种的；纯种的
pilfer	v.偷窃（小东西）；小偷小摸；（尤指员工）偷窃
introspection	n.反省；内省
jaded	adj.精疲力竭的；厌倦的；腻烦的
scam	n.欺诈；诈财骗局
erudite	adj.博学的；有学问的n.有学问的人
inflame	v.激怒；〈文学〉挑逗；【医】(使)红肿
parochial	adj.教区的；堂区的；只关心本地区的；地方观念的
hypocrite	n.伪君子；伪善者；虚伪的人
placebo	n.安慰剂；晚祷悼声[丧歌]；安慰剂效应
preclude	v.排除；妨碍；使行不通；阻止
malign	v.中伤adj.有害的；引起伤害的
taciturn	adj.不苟言笑的；沉默寡言的；缄默不语的
sacrosanct	adj.神圣不容更改（或置疑）的
obviate	v.排除；消除；打消
constructive	adj.建设性的；有助益的；积极的
parallel	adj.平行（的）；极相似的；同时发生的；相应的v.与…相似；与…同时发生；与…媲美；比得上n.（尤指不同地点或时间的）极其相似的人（或情况、事件等）
compatible	adj.兼容的；可共用的；可共存的；（因思想、志趣等相投而）关系好的
acumen	n.精明；敏锐
inadvertent	adj.疏忽的；漫不经心的；出于无心的
recapitulate	v.重述；概括
emblematic	adj.标志的；象征（性）的；特有的；典型的
outmoded	adj.过时的；已无用的
barrage	n.堰；拦河坝；水坝；火力网
quiescent	adj.沉寂的；静态的；静止的
inferno	n.无法控制的大火
rebuff	v.拒绝；挫折；击退n.粗暴回绝；生硬的拒绝
altruism	n.利他主义
eccentric	n.怪人；偏心圆；【机】偏心器；【天】离心圈adj.古怪的；异乎寻常的
betray	v.辜负；出卖；泄露（机密）；对…不忠
opinionate	adj.以意见为依据的；固执
itinerant	adj.巡回的；流动的；（尤指为找工作）四处奔波的n.巡回者
eminent	adj.显赫的；非凡的；杰出的
gratify	v.使高兴；使满意；满足（愿望、需要等）
impeccable	adj.无错误的；无瑕疵的；完美的n.不会作坏事的人；毫无缺点的人
privation	n.贫困；匮乏；艰难
sanguine	n.血红色；抱乐观；(用氧化铁染色的)红粉笔；红粉笔画adj.充满信心的；乐观的
ratify	v.正式批准；使正式生效
intrigue	n.阴谋；密谋；阴谋诡计；密谋策划v.密谋；激起…的兴趣；引发…的好奇心；秘密策划（加害他人）
torpid	adj.不活泼的；迟钝的；有气无力的；懒散的n.(牛津大学)四旬节艇赛；四旬节艇赛选手[用艇]
querulous	adj.抱怨的；显得恼怒的
retain	v.保留；保持；持有；继续拥有
immure	v.禁闭；监禁
hoard	v.囤积；贮藏；（尤指）秘藏n.（钱、食物、贵重物品等的）贮存；（尤指）秘藏
conjecture	n.猜想；计划；辨读；设想v.猜想；辨读
premeditated	adj.预谋的；事先策划的
docile	adj.温顺的
duplicity	n.欺骗
repellent	n.防水剂；驱虫剂adj.使人反感的；令人厌恶的；防…的；隔绝…的
resent	v.愤恨；感到气愤；愤愤不平
incipient	adj.刚开始的；初始的；早期的
fatigue	n.疲劳；劳累；厌倦；（金属或木材的）疲劳v.疲劳；使疲乏；(士兵)担任杂役
porous	adj.多孔的；透水的；透气的
accentuate	v.强调；着重；使突出
discern	v.识别；觉察出；了解；听出
sanction	n.制裁；批准；处罚；约束v.许可；准许；准予；惩罚
assume	v.假设；假定；认为；假装
stringent	adj.严格的；严厉的；紧缩的；短缺的
denounce	v.谴责；指责；斥责；告发（某人从事非法政治活动）
inimical	adj.对…有害的；不利于…的；不友好的；敌意的
supplant	v.取代
restive	adj.难驾驭的；焦躁不安的；不耐烦的
